stationname;RS307
infotype;marker
ref_system;ETRS89
ref_frame;ETRF89
method;diff.GPS
measure_date;2008-08-22
person1;Hans K̦nig (Azimuth)
person2;Henk Smit (HAK)
person3;Michiel Brentjens (ASTRON)
punt;X;Y;Z;sX;sY;sZ
10000;3826597.2075653;460842.23827549;5064896.5670354;0.01;0.01;0.05
10001;3826609.0108658;460843.95827016;5064887.4821479;0.01;0.01;0.05
10002;3826642.9608768;460856.32348526;5064860.9124205;0.01;0.01;0.05
10003;3826663.5405048;460870.33948328;5064844.2343701;0.01;0.01;0.05
10004;3826665.7594512;460871.56419892;5064842.439327 ;0.01;0.01;0.05
10005;3826682.6301798;460888.93833183;5064828.225256 ;0.01;0.01;0.05
10006;3826689.9034521;460898.99945718;5064821.8473183;0.01;0.01;0.05
10007;3826697.2225018;460910.24290331;5064815.2872654;0.01;0.01;0.05
10008;3826703.8916306;460922.59964504;5064809.1892155;0.01;0.01;0.05
10009;3826709.5842924;460935.14925191;5064803.7754716;0.01;0.01;0.05
10010;3826714.9751922;460950.65407156;5064798.4155534;0.01;0.01;0.05
10011;3826721.1848626;460976.74378505;5064791.3854402;0.01;0.01;0.05
10012;3826723.0916981;460991.4355077 ;5064788.6043148;0.01;0.01;0.05
10013;3826723.0964947;460991.44028622;5064788.6023066;0.01;0.01;0.05
10014;3826723.9907318;461006.20917862;5064786.5785013;0.01;0.01;0.05
10015;3826723.9559623;461021.18002005;5064785.3205367;0.01;0.01;0.05
10016;3826722.8496678;461036.11198554;5064784.7471935;0.01;0.01;0.05
10017;3826720.8150644;461049.48176853;5064785.0413195;0.01;0.01;0.05
10018;3826720.8093555;461049.47425433;5064785.0348377;0.01;0.01;0.05
10019;3826717.8370083;461065.54978379;5064785.8032271;0.01;0.01;0.05
10020;3826713.8884391;461079.98807233;5064787.2634142;0.01;0.01;0.05
10021;3826708.9932885;461093.83423017;5064789.7279238;0.01;0.01;0.05
10022;3826689.3245039;461132.51074932;5064801.1633327;0.01;0.01;0.05
10023;3826681.0858118;461144.12677611;5064806.3156328;0.01;0.01;0.05
10024;3826672.2060238;461154.78947144;5064812.0149659;0.01;0.01;0.05
10025;3826662.564524 ;461164.45487807;5064818.3502321;0.01;0.01;0.05
10026;3826652.5829493;461173.37922124;5064824.8497332;0.01;0.01;0.05
10027;3826642.1047877;461181.19274539;5064832.2116367;0.01;0.01;0.05
10028;3826631.1312725;461187.97073991;5064839.8572828;0.01;0.01;0.05
10029;3826619.5666297;461193.39807666;5064847.8064195;0.01;0.01;0.05
10030;3826609.2764953;461197.00601864;5064855.3509078;0.01;0.01;0.05
10031;3826605.5890006;461198.42043464;5064858.0139648;0.01;0.01;0.05
10032;3826602.7799935;461199.3048017 ;5064860.0538852;0.01;0.01;0.05
10033;3826596.30722  ;461201.10372815;5064864.7601544;0.01;0.01;0.05
10034;3826584.2578844;461203.00160287;5064873.6376407;0.01;0.01;0.05
10035;3826572.2188236;461203.84898954;5064882.6843339;0.01;0.01;0.05
10036;3826560.2487693;461203.46400223;5064891.6902876;0.01;0.01;0.05
10037;3826560.2430332;461203.47184273;5064891.6878396;0.01;0.01;0.05
10038;3826548.2888066;461201.60360828;5064900.8403484;0.01;0.01;0.05
10039;3826548.2821331;461201.60608642;5064900.8439623;0.01;0.01;0.05
10040;3826536.588204 ;461198.81261051;5064909.8674002;0.01;0.01;0.05
10041;3826536.5684134;461198.8116359 ;5064909.8632981;0.01;0.01;0.05
10042;3826525.069528 ;461194.53736309;5064918.804035 ;0.01;0.01;0.05
10043;3826514.1774686;461189.06102193;5064927.5463086;0.01;0.01;0.05
10044;3826503.4800975;461182.35056096;5064936.0253501;0.01;0.01;0.05
10045;3826503.4949492;461182.35646961;5064936.0157391;0.01;0.01;0.05
10046;3826493.4644997;461174.99743167;5064944.2764953;0.01;0.01;0.05
10047;3826483.8598945;461166.09335751;5064952.3007514;0.01;0.01;0.05
10048;3826467.1372328;461146.49651123;5064966.7097845;0.01;0.01;0.05
10049;3826459.7451379;461135.14223287;5064973.274837 ;0.01;0.01;0.05
10050;3826453.2647975;461123.42540281;5064979.0965221;0.01;0.01;0.05
10051;3826447.661552 ;461110.08130119;5064984.5594841;0.01;0.01;0.05
10052;3826447.669468 ;461110.07229812;5064984.562586 ;0.01;0.01;0.05
10053;3826443.1100086;461097.33725157;5064989.1100213;0.01;0.01;0.05
10054;3826438.4674419;461082.72362725;5064993.9336086;0.01;0.01;0.05
10055;3826435.1087681;461059.33833802;5064998.5443977;0.01;0.01;0.05
10056;3826434.3134694;461054.00906974;5064999.6690049;0.01;0.01;0.05
10057;3826433.4108814;461039.52485683;5065001.6551805;0.01;0.01;0.05
10058;3826433.4173085;461039.53108287;5065001.6451817;0.01;0.01;0.05
10059;3826433.3507495;461024.18457883;5065003.0501216;0.01;0.01;0.05
10060;3826434.4721282;461009.24637745;5065003.5982773;0.01;0.01;0.05
10061;3826439.5678703;460979.69594398;5065002.4225403;0.01;0.01;0.05
10062;3826443.4128687;460965.28658507;5065000.71062  ;0.01;0.01;0.05
10063;3826454.1223326;460937.76074406;5064995.2107178;0.01;0.01;0.05
10064;3826460.6742005;460924.96944905;5064991.4047708;0.01;0.01;0.05
10065;3826460.6724456;460924.98037437;5064991.4081699;0.01;0.01;0.05
10066;3826476.2775555;460901.24983521;5064981.8584453;0.01;0.01;0.05
10067;3826485.282328 ;460890.61404637;5064976.0346904;0.01;0.01;0.05
10068;3826494.6321484;460880.70950142;5064969.8019091;0.01;0.01;0.05
10069;3826504.5099688;460872.03539754;5064963.0981795;0.01;0.01;0.05
10070;3826504.5181393;460872.03363293;5064963.0924733;0.01;0.01;0.05
10071;3826515.1204029;460863.96359458;5064955.8078035;0.01;0.01;0.05
10072;3826526.58982  ;460857.31790446;5064948.2110779;0.01;0.01;0.05
10073;3826537.8206859;460851.9831495 ;5064940.2999778;0.01;0.01;0.05
10074;3826549.4480219;460847.74197273;5064931.8956137;0.01;0.01;0.05
10075;3826561.2862677;460844.54398564;5064923.3003558;0.01;0.01;0.05


